nohup: ignoring input
Using downloaded and verified file: ./data/SVHN/raw/train/train_32x32.mat
Using downloaded and verified file: ./data/SVHN/raw/test/test_32x32.mat
Train - Iteration 0: 	Loss_stepA: 0.0460
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0118
Train - Iteration 50: 	Loss_stepA: 0.5755
Train - Iteration 100: 	Loss_stepA: 0.5889
Train - Iteration 150: 	Loss_stepA: 0.5769
Train - Iteration 200: 	Loss_stepA: 0.5873
Train - Iteration 250: 	Loss_stepA: 0.5678
Train - Iteration 300: 	Loss_stepA: 0.5846
Train - Iteration 350: 	Loss_stepA: 0.5755
Train - Iteration 400: 	Loss_stepA: 0.5750
Train - Iteration 450: 	Loss_stepA: 0.5640
Train - Iteration 500: 	Loss_stepA: 0.5490
Train - Iteration 550: 	Loss_stepA: 0.5550
Train - Epoch [4]: 	Loss_stepA: 0.5716
Test - Epoch [4]: 	Accuracy_stepA: 85.08%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0096
Train - Iteration 50: 	Loss_stepA: 0.5609
Train - Iteration 100: 	Loss_stepA: 0.5277
Train - Iteration 150: 	Loss_stepA: 0.5216
Train - Iteration 200: 	Loss_stepA: 0.5514
Train - Iteration 250: 	Loss_stepA: 0.5356
Train - Iteration 300: 	Loss_stepA: 0.5348
Train - Iteration 350: 	Loss_stepA: 0.5147
Train - Iteration 400: 	Loss_stepA: 0.5040
Train - Iteration 450: 	Loss_stepA: 0.5223
Train - Iteration 500: 	Loss_stepA: 0.4879
Train - Iteration 550: 	Loss_stepA: 0.4917
Train - Epoch [5]: 	Loss_stepA: 0.5222
Test - Epoch [5]: 	Accuracy_stepA: 85.99%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0117
Train - Iteration 50: 	Loss_stepA: 0.4792
Train - Iteration 100: 	Loss_stepA: 0.4920
Train - Iteration 150: 	Loss_stepA: 0.4909
Train - Iteration 200: 	Loss_stepA: 0.4868
Train - Iteration 250: 	Loss_stepA: 0.4928
Train - Iteration 300: 	Loss_stepA: 0.4776
Train - Iteration 350: 	Loss_stepA: 0.5165
Train - Iteration 400: 	Loss_stepA: 0.5036
Train - Iteration 450: 	Loss_stepA: 0.4913
Train - Iteration 500: 	Loss_stepA: 0.4938
Train - Iteration 550: 	Loss_stepA: 0.4594
Train - Epoch [6]: 	Loss_stepA: 0.4883
Test - Epoch [6]: 	Accuracy_stepA: 86.85%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0068
Train - Iteration 50: 	Loss_stepA: 0.4526
Train - Iteration 100: 	Loss_stepA: 0.4953
Train - Iteration 150: 	Loss_stepA: 0.4751
Train - Iteration 200: 	Loss_stepA: 0.4768
Train - Iteration 250: 	Loss_stepA: 0.4640
Train - Iteration 300: 	Loss_stepA: 0.4631
Train - Iteration 350: 	Loss_stepA: 0.4619
Train - Iteration 400: 	Loss_stepA: 0.4662
Train - Iteration 450: 	Loss_stepA: 0.4416
Train - Iteration 500: 	Loss_stepA: 0.4532
Train - Iteration 550: 	Loss_stepA: 0.4253
Train - Epoch [7]: 	Loss_stepA: 0.4615
Test - Epoch [7]: 	Accuracy_stepA: 87.50%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0077
Train - Iteration 50: 	Loss_stepA: 0.4528
Train - Iteration 100: 	Loss_stepA: 0.4437
Train - Iteration 150: 	Loss_stepA: 0.4369
Train - Iteration 200: 	Loss_stepA: 0.4222
Train - Iteration 250: 	Loss_stepA: 0.4470
Train - Iteration 300: 	Loss_stepA: 0.4246
Train - Iteration 350: 	Loss_stepA: 0.4359
Train - Iteration 400: 	Loss_stepA: 0.4497
Train - Iteration 450: 	Loss_stepA: 0.4284
Train - Iteration 500: 	Loss_stepA: 0.4360
Train - Iteration 550: 	Loss_stepA: 0.4380
Train - Epoch [8]: 	Loss_stepA: 0.4389
Test - Epoch [8]: 	Accuracy_stepA: 87.89%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0096
Train - Iteration 50: 	Loss_stepA: 0.4165
Train - Iteration 100: 	Loss_stepA: 0.4093
Train - Iteration 150: 	Loss_stepA: 0.4435
Train - Iteration 200: 	Loss_stepA: 0.4158
Train - Iteration 250: 	Loss_stepA: 0.4343
Train - Iteration 300: 	Loss_stepA: 0.4104
Train - Iteration 350: 	Loss_stepA: 0.4122
Train - Iteration 400: 	Loss_stepA: 0.4194
Train - Iteration 450: 	Loss_stepA: 0.4279
Train - Iteration 500: 	Loss_stepA: 0.4104
Train - Iteration 550: 	Loss_stepA: 0.4137
Train - Epoch [9]: 	Loss_stepA: 0.4185
Test - Epoch [9]: 	Accuracy_stepA: 88.37%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0083
Train - Iteration 50: 	Loss_stepA: 0.4000
Train - Iteration 100: 	Loss_stepA: 0.3954
Train - Iteration 150: 	Loss_stepA: 0.4228
Train - Iteration 200: 	Loss_stepA: 0.4299
Train - Iteration 250: 	Loss_stepA: 0.4061
Train - Iteration 300: 	Loss_stepA: 0.4131
Train - Iteration 350: 	Loss_stepA: 0.3921
Train - Iteration 400: 	Loss_stepA: 0.3937
Train - Iteration 450: 	Loss_stepA: 0.3956
Train - Iteration 500: 	Loss_stepA: 0.3837
Train - Iteration 550: 	Loss_stepA: 0.3857
Train - Epoch [10]: 	Loss_stepA: 0.4032
Test - Epoch [10]: 	Accuracy_stepA: 88.86%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0082
Train - Iteration 50: 	Loss_stepA: 0.3835
Train - Iteration 100: 	Loss_stepA: 0.3859
Train - Iteration 150: 	Loss_stepA: 0.4027
Train - Iteration 200: 	Loss_stepA: 0.3865
Train - Iteration 250: 	Loss_stepA: 0.3891
Train - Iteration 300: 	Loss_stepA: 0.3806
Train - Iteration 350: 	Loss_stepA: 0.3936
Train - Iteration 400: 	Loss_stepA: 0.3812
Train - Iteration 450: 	Loss_stepA: 0.3802
Train - Iteration 500: 	Loss_stepA: 0.3790
Train - Iteration 550: 	Loss_stepA: 0.3934
Train - Epoch [11]: 	Loss_stepA: 0.3862
Test - Epoch [11]: 	Accuracy_stepA: 88.89%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0066
Train - Iteration 50: 	Loss_stepA: 0.3720
Train - Iteration 100: 	Loss_stepA: 0.3613
Train - Iteration 150: 	Loss_stepA: 0.3566
Train - Iteration 200: 	Loss_stepA: 0.3804
Train - Iteration 250: 	Loss_stepA: 0.3785
Train - Iteration 300: 	Loss_stepA: 0.3932
Train - Iteration 350: 	Loss_stepA: 0.3670
Train - Iteration 400: 	Loss_stepA: 0.3705
Train - Iteration 450: 	Loss_stepA: 0.3947
Train - Iteration 500: 	Loss_stepA: 0.3784
Train - Iteration 550: 	Loss_stepA: 0.3945
Train - Epoch [12]: 	Loss_stepA: 0.3768
Test - Epoch [12]: 	Accuracy_stepA: 89.61%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0068
Train - Iteration 50: 	Loss_stepA: 0.3537
Train - Iteration 100: 	Loss_stepA: 0.3622
Train - Iteration 150: 	Loss_stepA: 0.3625
Train - Iteration 200: 	Loss_stepA: 0.3716
Train - Iteration 250: 	Loss_stepA: 0.3530
Train - Iteration 300: 	Loss_stepA: 0.3667
Train - Iteration 350: 	Loss_stepA: 0.3666
Train - Iteration 400: 	Loss_stepA: 0.3626
Train - Iteration 450: 	Loss_stepA: 0.3558
Train - Iteration 500: 	Loss_stepA: 0.3614
Train - Iteration 550: 	Loss_stepA: 0.3797
Train - Epoch [13]: 	Loss_stepA: 0.3633
Test - Epoch [13]: 	Accuracy_stepA: 89.84%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0089
Train - Iteration 50: 	Loss_stepA: 0.3577
Train - Iteration 100: 	Loss_stepA: 0.3550
Train - Iteration 150: 	Loss_stepA: 0.3428
Train - Iteration 200: 	Loss_stepA: 0.3576
Train - Iteration 250: 	Loss_stepA: 0.3743
Train - Iteration 300: 	Loss_stepA: 0.3620
Train - Iteration 350: 	Loss_stepA: 0.3387
Train - Iteration 400: 	Loss_stepA: 0.3572
Train - Iteration 450: 	Loss_stepA: 0.3335
Train - Iteration 500: 	Loss_stepA: 0.3425
Train - Iteration 550: 	Loss_stepA: 0.3537
Train - Epoch [14]: 	Loss_stepA: 0.3531
Test - Epoch [14]: 	Accuracy_stepA: 89.93%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0051
Train - Iteration 50: 	Loss_stepA: 0.3451
Train - Iteration 100: 	Loss_stepA: 0.3423
Train - Iteration 150: 	Loss_stepA: 0.3274
Train - Iteration 200: 	Loss_stepA: 0.3559
Train - Iteration 250: 	Loss_stepA: 0.3402
Train - Iteration 300: 	Loss_stepA: 0.3450
Train - Iteration 350: 	Loss_stepA: 0.3357
Train - Iteration 400: 	Loss_stepA: 0.3421
Train - Iteration 450: 	Loss_stepA: 0.3565
Train - Iteration 500: 	Loss_stepA: 0.3441
Train - Iteration 550: 	Loss_stepA: 0.3350
Train - Epoch [15]: 	Loss_stepA: 0.3430
Test - Epoch [15]: 	Accuracy_stepA: 90.16%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0062
Train - Iteration 50: 	Loss_stepA: 0.3393
Train - Iteration 100: 	Loss_stepA: 0.3487
Train - Iteration 150: 	Loss_stepA: 0.3397
Train - Iteration 200: 	Loss_stepA: 0.3216
Train - Iteration 250: 	Loss_stepA: 0.3289
Train - Iteration 300: 	Loss_stepA: 0.3265
Train - Iteration 350: 	Loss_stepA: 0.3338
Train - Iteration 400: 	Loss_stepA: 0.3187
Train - Iteration 450: 	Loss_stepA: 0.3408
Train - Iteration 500: 	Loss_stepA: 0.3487
Train - Iteration 550: 	Loss_stepA: 0.3478
Train - Epoch [16]: 	Loss_stepA: 0.3358
Test - Epoch [16]: 	Accuracy_stepA: 90.38%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0062
Train - Iteration 50: 	Loss_stepA: 0.3255
Train - Iteration 100: 	Loss_stepA: 0.3275
Train - Iteration 150: 	Loss_stepA: 0.3142
Train - Iteration 200: 	Loss_stepA: 0.3306
Train - Iteration 250: 	Loss_stepA: 0.3339
Train - Iteration 300: 	Loss_stepA: 0.3409
Train - Iteration 350: 	Loss_stepA: 0.3197
Train - Iteration 400: 	Loss_stepA: 0.2971
Train - Iteration 450: 	Loss_stepA: 0.3380
Train - Iteration 500: 	Loss_stepA: 0.3232
Train - Iteration 550: 	Loss_stepA: 0.3270
Train - Epoch [17]: 	Loss_stepA: 0.3251
Test - Epoch [17]: 	Accuracy_stepA: 90.51%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0083
Train - Iteration 50: 	Loss_stepA: 0.3086
Train - Iteration 100: 	Loss_stepA: 0.3292
Train - Iteration 150: 	Loss_stepA: 0.3110
Train - Iteration 200: 	Loss_stepA: 0.2937
Train - Iteration 250: 	Loss_stepA: 0.3184
Train - Iteration 300: 	Loss_stepA: 0.3220
Train - Iteration 350: 	Loss_stepA: 0.3085
Train - Iteration 400: 	Loss_stepA: 0.3293
Train - Iteration 450: 	Loss_stepA: 0.3047
Train - Iteration 500: 	Loss_stepA: 0.3144
Train - Iteration 550: 	Loss_stepA: 0.3370
Train - Epoch [18]: 	Loss_stepA: 0.3162
Test - Epoch [18]: 	Accuracy_stepA: 90.72%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0051
Train - Iteration 50: 	Loss_stepA: 0.3126
Train - Iteration 100: 	Loss_stepA: 0.3144
Train - Iteration 150: 	Loss_stepA: 0.2942
Train - Iteration 200: 	Loss_stepA: 0.3165
Train - Iteration 250: 	Loss_stepA: 0.3188
Train - Iteration 300: 	Loss_stepA: 0.3118
Train - Iteration 350: 	Loss_stepA: 0.3135
Train - Iteration 400: 	Loss_stepA: 0.3101
Train - Iteration 450: 	Loss_stepA: 0.3069
Train - Iteration 500: 	Loss_stepA: 0.3144
Train - Iteration 550: 	Loss_stepA: 0.2898
Train - Epoch [19]: 	Loss_stepA: 0.3097
Test - Epoch [19]: 	Accuracy_stepA: 90.98%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0055
Train - Iteration 50: 	Loss_stepA: 0.3006
Train - Iteration 100: 	Loss_stepA: 0.3115
Train - Iteration 150: 	Loss_stepA: 0.3100
Train - Iteration 200: 	Loss_stepA: 0.2917
Train - Iteration 250: 	Loss_stepA: 0.3059
Train - Iteration 300: 	Loss_stepA: 0.2949
Train - Iteration 350: 	Loss_stepA: 0.3075
Train - Iteration 400: 	Loss_stepA: 0.3015
Train - Iteration 450: 	Loss_stepA: 0.3023
Train - Iteration 500: 	Loss_stepA: 0.3005
Train - Iteration 550: 	Loss_stepA: 0.3272
Train - Epoch [20]: 	Loss_stepA: 0.3051
Test - Epoch [20]: 	Accuracy_stepA: 90.99%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0059
Train - Iteration 50: 	Loss_stepA: 0.2830
Train - Iteration 100: 	Loss_stepA: 0.3049
Train - Iteration 150: 	Loss_stepA: 0.2820
Train - Iteration 200: 	Loss_stepA: 0.2979
Train - Iteration 250: 	Loss_stepA: 0.2942
Train - Iteration 300: 	Loss_stepA: 0.2915
Train - Iteration 350: 	Loss_stepA: 0.2982
Train - Iteration 400: 	Loss_stepA: 0.2943
Train - Iteration 450: 	Loss_stepA: 0.2831
Train - Iteration 500: 	Loss_stepA: 0.3093
Train - Iteration 550: 	Loss_stepA: 0.2990
Train - Epoch [21]: 	Loss_stepA: 0.2953
Test - Epoch [21]: 	Accuracy_stepA: 91.02%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0040
Train - Iteration 50: 	Loss_stepA: 0.2814
Train - Iteration 100: 	Loss_stepA: 0.2967
Train - Iteration 150: 	Loss_stepA: 0.2875
Train - Iteration 200: 	Loss_stepA: 0.2964
Train - Iteration 250: 	Loss_stepA: 0.2947
Train - Iteration 300: 	Loss_stepA: 0.2809
Train - Iteration 350: 	Loss_stepA: 0.2729
Train - Iteration 400: 	Loss_stepA: 0.2784
Train - Iteration 450: 	Loss_stepA: 0.2951
Train - Iteration 500: 	Loss_stepA: 0.2697
Train - Iteration 550: 	Loss_stepA: 0.2910
Train - Epoch [22]: 	Loss_stepA: 0.2859
Test - Epoch [22]: 	Accuracy_stepA: 91.28%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0075
Train - Iteration 50: 	Loss_stepA: 0.2854
Train - Iteration 100: 	Loss_stepA: 0.2983
Train - Iteration 150: 	Loss_stepA: 0.2796
Train - Iteration 200: 	Loss_stepA: 0.2737
Train - Iteration 250: 	Loss_stepA: 0.2708
Train - Iteration 300: 	Loss_stepA: 0.2980
Train - Iteration 350: 	Loss_stepA: 0.2763
Train - Iteration 400: 	Loss_stepA: 0.2812
Train - Iteration 450: 	Loss_stepA: 0.2702
Train - Iteration 500: 	Loss_stepA: 0.2674
Train - Iteration 550: 	Loss_stepA: 0.3072
Train - Epoch [23]: 	Loss_stepA: 0.2836
Test - Epoch [23]: 	Accuracy_stepA: 91.44%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0030
Train - Iteration 50: 	Loss_stepA: 0.2498
Train - Iteration 100: 	Loss_stepA: 0.2767
Train - Iteration 150: 	Loss_stepA: 0.2805
Train - Iteration 200: 	Loss_stepA: 0.2841
Train - Iteration 250: 	Loss_stepA: 0.2648
Train - Iteration 300: 	Loss_stepA: 0.3077
Train - Iteration 350: 	Loss_stepA: 0.2802
Train - Iteration 400: 	Loss_stepA: 0.2770
Train - Iteration 450: 	Loss_stepA: 0.2934
Train - Iteration 500: 	Loss_stepA: 0.2866
Train - Iteration 550: 	Loss_stepA: 0.2729
Train - Epoch [24]: 	Loss_stepA: 0.2793
Test - Epoch [24]: 	Accuracy_stepA: 91.45%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0049
Train - Iteration 50: 	Loss_stepA: 0.2569
Train - Iteration 100: 	Loss_stepA: 0.2800
Train - Iteration 150: 	Loss_stepA: 0.2773
Train - Iteration 200: 	Loss_stepA: 0.2735
Train - Iteration 250: 	Loss_stepA: 0.2801
Train - Iteration 300: 	Loss_stepA: 0.2855
Train - Iteration 350: 	Loss_stepA: 0.2698
Train - Iteration 400: 	Loss_stepA: 0.2802
Train - Iteration 450: 	Loss_stepA: 0.2561
Train - Iteration 500: 	Loss_stepA: 0.2464
Train - Iteration 550: 	Loss_stepA: 0.2702
Train - Epoch [25]: 	Loss_stepA: 0.2708
Test - Epoch [25]: 	Accuracy_stepA: 91.54%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0067
Train - Iteration 50: 	Loss_stepA: 0.2538
Train - Iteration 100: 	Loss_stepA: 0.2830
Train - Iteration 150: 	Loss_stepA: 0.2737
Train - Iteration 200: 	Loss_stepA: 0.2611
Train - Iteration 250: 	Loss_stepA: 0.2543
Train - Iteration 300: 	Loss_stepA: 0.2546
Train - Iteration 350: 	Loss_stepA: 0.2741
Train - Iteration 400: 	Loss_stepA: 0.2813
Train - Iteration 450: 	Loss_stepA: 0.2500
Train - Iteration 500: 	Loss_stepA: 0.2525
Train - Iteration 550: 	Loss_stepA: 0.2717
Train - Epoch [26]: 	Loss_stepA: 0.2647
Test - Epoch [26]: 	Accuracy_stepA: 91.65%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0057
Train - Iteration 50: 	Loss_stepA: 0.2485
Train - Iteration 100: 	Loss_stepA: 0.2688
Train - Iteration 150: 	Loss_stepA: 0.2284
Train - Iteration 200: 	Loss_stepA: 0.2568
Train - Iteration 250: 	Loss_stepA: 0.2605
Train - Iteration 300: 	Loss_stepA: 0.2758
Train - Iteration 350: 	Loss_stepA: 0.2624
Train - Iteration 400: 	Loss_stepA: 0.2878
Train - Iteration 450: 	Loss_stepA: 0.2652
Train - Iteration 500: 	Loss_stepA: 0.2527
Train - Iteration 550: 	Loss_stepA: 0.2649
Train - Epoch [27]: 	Loss_stepA: 0.2605
Test - Epoch [27]: 	Accuracy_stepA: 91.83%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0048
Train - Iteration 50: 	Loss_stepA: 0.2601
Train - Iteration 100: 	Loss_stepA: 0.2444
Train - Iteration 150: 	Loss_stepA: 0.2583
Train - Iteration 200: 	Loss_stepA: 0.2672
Train - Iteration 250: 	Loss_stepA: 0.2499
Train - Iteration 300: 	Loss_stepA: 0.2532
Train - Iteration 350: 	Loss_stepA: 0.2606
Train - Iteration 400: 	Loss_stepA: 0.2549
Train - Iteration 450: 	Loss_stepA: 0.2509
Train - Iteration 500: 	Loss_stepA: 0.2537
Train - Iteration 550: 	Loss_stepA: 0.2520
Train - Epoch [28]: 	Loss_stepA: 0.2557
Test - Epoch [28]: 	Accuracy_stepA: 91.81%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0057
Train - Iteration 50: 	Loss_stepA: 0.2571
Train - Iteration 100: 	Loss_stepA: 0.2475
Train - Iteration 150: 	Loss_stepA: 0.2447
Train - Iteration 200: 	Loss_stepA: 0.2433
Train - Iteration 250: 	Loss_stepA: 0.2496
Train - Iteration 300: 	Loss_stepA: 0.2434
Train - Iteration 350: 	Loss_stepA: 0.2579
Train - Iteration 400: 	Loss_stepA: 0.2471
Train - Iteration 450: 	Loss_stepA: 0.2714
Train - Iteration 500: 	Loss_stepA: 0.2494
Train - Iteration 550: 	Loss_stepA: 0.2670
Train - Epoch [29]: 	Loss_stepA: 0.2522
Test - Epoch [29]: 	Accuracy_stepA: 91.73%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0030
Train - Iteration 50: 	Loss_stepA: 0.2452
Train - Iteration 100: 	Loss_stepA: 0.2603
Train - Iteration 150: 	Loss_stepA: 0.2260
Train - Iteration 200: 	Loss_stepA: 0.2344
Train - Iteration 250: 	Loss_stepA: 0.2599
Train - Iteration 300: 	Loss_stepA: 0.2539
Train - Iteration 350: 	Loss_stepA: 0.2674
Train - Iteration 400: 	Loss_stepA: 0.2402
Train - Iteration 450: 	Loss_stepA: 0.2677
Train - Iteration 500: 	Loss_stepA: 0.2434
Train - Iteration 550: 	Loss_stepA: 0.2547
Train - Epoch [30]: 	Loss_stepA: 0.2493
Test - Epoch [30]: 	Accuracy_stepA: 91.98%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0030
Train - Iteration 50: 	Loss_stepA: 0.2490
Train - Iteration 100: 	Loss_stepA: 0.2504
Train - Iteration 150: 	Loss_stepA: 0.2319
Train - Iteration 200: 	Loss_stepA: 0.2371
Train - Iteration 250: 	Loss_stepA: 0.2530
Train - Iteration 300: 	Loss_stepA: 0.2433
Train - Iteration 350: 	Loss_stepA: 0.2316
Train - Iteration 400: 	Loss_stepA: 0.2391
Train - Iteration 450: 	Loss_stepA: 0.2308
Train - Iteration 500: 	Loss_stepA: 0.2368
Train - Iteration 550: 	Loss_stepA: 0.2488
Train - Epoch [31]: 	Loss_stepA: 0.2428
Test - Epoch [31]: 	Accuracy_stepA: 92.05%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0057
Train - Iteration 50: 	Loss_stepA: 0.2405
Train - Iteration 100: 	Loss_stepA: 0.2309
Train - Iteration 150: 	Loss_stepA: 0.2437
Train - Iteration 200: 	Loss_stepA: 0.2429
Train - Iteration 250: 	Loss_stepA: 0.2379
Train - Iteration 300: 	Loss_stepA: 0.2381
Train - Iteration 350: 	Loss_stepA: 0.2496
Train - Iteration 400: 	Loss_stepA: 0.2378
Train - Iteration 450: 	Loss_stepA: 0.2263
Train - Iteration 500: 	Loss_stepA: 0.2419
Train - Iteration 550: 	Loss_stepA: 0.2560
Train - Epoch [32]: 	Loss_stepA: 0.2410
Test - Epoch [32]: 	Accuracy_stepA: 92.21%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0036
Train - Iteration 50: 	Loss_stepA: 0.2202
Train - Iteration 100: 	Loss_stepA: 0.2374
Train - Iteration 150: 	Loss_stepA: 0.2407
Train - Iteration 200: 	Loss_stepA: 0.2249
Train - Iteration 250: 	Loss_stepA: 0.2321
Train - Iteration 300: 	Loss_stepA: 0.2361
Train - Iteration 350: 	Loss_stepA: 0.2519
Train - Iteration 400: 	Loss_stepA: 0.2375
Train - Iteration 450: 	Loss_stepA: 0.2399
Train - Iteration 500: 	Loss_stepA: 0.2331
Train - Iteration 550: 	Loss_stepA: 0.2291
Train - Epoch [33]: 	Loss_stepA: 0.2353
Test - Epoch [33]: 	Accuracy_stepA: 92.35%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0055
Train - Iteration 50: 	Loss_stepA: 0.2341
Train - Iteration 100: 	Loss_stepA: 0.2188
Train - Iteration 150: 	Loss_stepA: 0.2405
Train - Iteration 200: 	Loss_stepA: 0.2225
Train - Iteration 250: 	Loss_stepA: 0.2169
Train - Iteration 300: 	Loss_stepA: 0.2374
Train - Iteration 350: 	Loss_stepA: 0.2326
Train - Iteration 400: 	Loss_stepA: 0.2293
Train - Iteration 450: 	Loss_stepA: 0.2325
Train - Iteration 500: 	Loss_stepA: 0.2320
Train - Iteration 550: 	Loss_stepA: 0.2337
Train - Epoch [34]: 	Loss_stepA: 0.2306
Test - Epoch [34]: 	Accuracy_stepA: 92.29%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0035
Train - Iteration 50: 	Loss_stepA: 0.2335
Train - Iteration 100: 	Loss_stepA: 0.2328
Train - Iteration 150: 	Loss_stepA: 0.2105
Train - Iteration 200: 	Loss_stepA: 0.2212
Train - Iteration 250: 	Loss_stepA: 0.2376
Train - Iteration 300: 	Loss_stepA: 0.2211
Train - Iteration 350: 	Loss_stepA: 0.2179
Train - Iteration 400: 	Loss_stepA: 0.2317
Train - Iteration 450: 	Loss_stepA: 0.2272
Train - Iteration 500: 	Loss_stepA: 0.2199
Train - Iteration 550: 	Loss_stepA: 0.2314
Train - Epoch [35]: 	Loss_stepA: 0.2262
Test - Epoch [35]: 	Accuracy_stepA: 92.32%
-----------------------------------------------------------------------------------------------

Train - Iteration 0: 	Loss_stepA: 0.0046
Train - Iteration 50: 	Loss_stepA: 0.2213
Train - Iteration 100: 	Loss_stepA: 0.2073
Train - Iteration 150: 	Loss_stepA: 0.2235
Train - Iteration 200: 	Loss_stepA: 0.2452
Train - Iteration 250: 	Loss_stepA: 0.2364
Train - Iteration 300: 	Loss_stepA: 0.2295
Train - Iteration 350: 	Loss_stepA: 0.2257
Train - Iteration 400: 	Loss_stepA: 0.2113
Train - Iteration 450: 	Loss_stepA: 0.2378
